SchoolName,URL
Coed-Y-Brain Primary,https://www.coedybrainprimaryschool.co.uk/
Coedcae School,https://www.coedcae.org.uk/
Coedffranc Primary School,http://coedffranc-primary-school.j2bloggy.com/
Coedylan Primary School,http://coedylanprimary.co.uk/
Coety Primary School,https://www.coetyprimaryschool.co.uk/
Cogan Primary School,http://www.coganprimary.ik.org/
Colcot Primary School,http://www.colcotprimaryschool.com/
Coleg Cymunedol Y Dderwen,https://www.ccyd.co.uk/
Connah's Quay High School,https://cqhs.org.uk/
Corneli Primary,https://www.corneliprimary.com/
Corneli Primary,https://www.yferchorsger.co.uk/
Cornist Park Cp,https://www.cornistparkcp.co.uk/
Corpus Christi Catholic High School,https://www.corpuschristihs.co.uk/
Coryton Primary,https://www.corytonprmsch.co.uk/
Cowbridge School,https://www.cowbridgecomprehensiveschool.co.uk/
Coychurch Llangrallo Primary,https://www.coychurchprimary.co.uk/
Cradoc C.P. School,http://www.cradoc.powys.sch.uk/
Craig Yr Hesg Primary School,https://www.fernfederation.co.uk/topic/craig-yr-hesg-primary-school
Craigfelen Primary School,https://craigfelenprimary.weebly.com/
Creigiau Primary School,https://www.creigiauprm.cardiff.sch.uk/
Creunant Primary School,http://creunant-primary-school.j2bloggy.com/
Crickhowell C.P. School,https://www.crickhowell.powys.sch.uk/
Crindau Primary School,http://www.crindauprimaryschool.co.uk
Croeserw Primary School,http://croeserw-primary-school.j2bloggy.com/
Croesty Primary School,https://www.croestyprimaryschool.co.uk/
Croesyceiliog Primary School,https://www.croesyceiliogprimary.co.uk/
Croesyceiliog School,https://www.croesyceiliog.org.uk/
Cross Ash County Primary School,https://www.crossashprimary.co.uk/
Cross Hands C.P. School,http://www.crosshands.amdro.org.uk/
Crossgates C.P. School,http://www.crossgates.powys.sch.uk/
Crownbridge Special School,https://www.crownbridgeschool.co.uk/
Crumlin High Level Primary,https://www.crumlinhighlevelprimary.net/
Crwys Primary School,http://www.crwysprimary.co.uk/
Crymlyn Primary School,http://crymlyn-primary-school.j2bloggy.com/
Crynallt Primary School,https://crynallt-primary-school.j2bloggy.com/
Cwm Primary School,http://cwmdarprimary.co.uk/
Cwmaber Infants School,https://www.cwmaberinfants.com/
Cwmaber Junior School,https://sites.google.com/cwmaberjunior.co.uk/website/home
Cwmafan Primary School,http://cwmafan-primary-school.j2bloggy.com/
Cwmaman Primary,https://www.cwmamanpri.uk/
Cwmbach Community Primary,https://cwmbachprimary.cymru/
Cwmbran High School,http://www.cwmbranhighschool.co.uk/
Cwmcarn Primary School,https://www.cwmcarnprimary.co.uk/
Cwmclydach Community Primary School,https://sites.google.com/hwbcymru.net/cwmclydach-primary-school/
Cwmfelin Primary School,https://www.cwmfelinprimary.co.uk/
Cwmfelinfach Primary,http://www.cwmfelinfachprimary.co.uk/
Cwmffrwdoer Primary,https://www.cwmffrwdoerprimary.co.uk/
Cwmglas Primary School,https://www.cwmglasprimaryschool.org/
Cwmlai Primary,https://www.cwmlaiprimary.co.uk/
Cwmnedd Primary School,https://cwmnedd.j2bloggy.com/
Cwmrhydyceirw Primary School,https://cwmrhydyceirw-primary-school1.j2bloggy.com/
Cwmtawe Community School,https://www.cwmtawe.org/
Cwrt Henri Primary School,http://www.cwrthenri.amdro.org.uk/
Cwrt Rawlin Primary School,https://www.cwrtrawlinprimary.co.uk/
Cyfarthfa High School,https://cyfarthfahigh.merthyr.sch.uk/
Cyfarthfa Park Primary School,https://sites.google.com/cyfarthfapark-pri.merthyr.sch.uk/cyfarthfa-park-primary-school
Cymer Afan Primary School,http://cymer-afan-primary-school.j2bloggy.com/
Cymmer Primary School,https://www.cymmerprimaryschool.co.uk/
Cynffig Comprehensive,https://sites.google.com/hwbcymru.net/cynffig
Cynwyl Elfed School,http://www.cynwylelfed.amdro.org.uk/
Dafen Primary School,http://www.dafen.amdro.org.uk/
Danescourt Primary,http://www.danescourtprm.cardiff.sch.uk/
Danygraig Primary School,https://danygraig-primary-school1.j2bloggy.com/
Darland High School,https://darland.wrexham.sch.uk/
Darran Park Primary,https://www.darranparkprimary.com/
Darrenlas Primary School,https://www.darrenlasprimary.co.uk/
Deighton Primary School,https://deighton-primary-school.j2bloggy.com/
Denbigh High School,https://denbighhighschool.co.uk/
Deri Primary School,https://www.deriprimaryschool.com/
Derwen Foundation School,http://www.derwenprimaryschool.com/
Derwendeg Primary School,https://derwendegprimary.co.uk/
Dewstow,http://dewstowprimary.org.uk/
Dinas Powys Primary School,https://www.dinaspowysps.co.uk/
Dolau Primary,https://www.dolauprimary.org.uk/
Dowlais Primary School,https://sites.google.com/a/dowlais.merthyr.sch.uk/dowlais-primary/
Drury Primary School,https://www.druryprimary.co.uk/
Dunvant Primary School,https://www.dunvantprimary.org.uk/
Durand Primary School,http://www.durand.wales/
Dwr Y Felin Comprehensive School,https://dwryfelinschool.org/
Dyffryn Taf,https://www.dyffryntaf.org/
Dylan Thomas Community School,http://www.dylanthomas.school/
Eastern High,http://easternhigh.cardiff.sch.uk
Eastern High,https://www.easternprimary.co.uk/
Eastern Primary School,http://easternhigh.cardiff.sch.uk
Ebbw Fawr Learning Community,https://www.ebbwfawr.co.uk/secondary/
Edwardsville Primary School,https://www.edwardsvilleprimary.co.uk/
Eirias High School,http://www.eirias.cymru/
